2002-01-02,2.3915
2002-01-03,2.4034
2002-01-04,2.3895
2002-01-07,2.3726
2002-01-08,2.3813
2002-01-09,2.3951
2002-01-10,2.3863
2002-01-11,2.4447
2002-01-14,2.4241
2002-01-15,2.4321
2002-01-16,2.448
2002-01-17,2.4769
2002-01-18,2.5095
2002-01-21,2.4916
2002-01-22,2.4781
2002-01-23,2.4727
2002-01-24,2.4712
2002-01-25,2.4797
2002-01-28,2.4376
2002-01-29,2.4023
2002-01-30,2.4362
2002-01-31,2.437
2002-02-01,2.4331
2002-02-04,2.4571
2002-02-05,2.4686
2002-02-06,2.4751
2002-02-07,2.5114
2002-02-08,2.5056
2002-02-11,2.476
2002-02-12,2.4793
2002-02-13,2.4647
2002-02-14,2.469
2002-02-15,2.4561
2002-02-18,2.444
2002-02-19,2.4335
2002-02-20,2.4631
2002-02-21,2.4551
2002-02-22,2.4528
2002-02-25,2.4674
2002-02-26,2.4698
2002-02-27,2.4568
2002-02-28,2.466
2002-03-01,2.4907
2002-03-04,2.4494
2002-03-05,2.4532
2002-03-06,2.4458
2002-03-07,2.4674
2002-03-08,2.4858
2002-03-11,2.4638
2002-03-12,2.4613
2002-03-13,2.4781
2002-03-14,2.4919
2002-03-15,2.4838
2002-03-18,2.4737
2002-03-19,2.468
2002-03-20,2.4721
2002-03-21,2.4776
2002-03-22,2.4743
2002-03-25,2.4784
2002-03-26,2.481
2002-03-27,2.4605
2002-03-28,2.4486
2002-03-29,2.4587
2002-04-02,2.4685
2002-04-03,2.4595
2002-04-04,2.4626
2002-04-05,2.4561
2002-04-08,2.4476
2002-04-09,2.4477
2002-04-10,2.4546
2002-04-11,2.4497
2002-04-12,2.4394
2002-04-15,2.4399
2002-04-16,2.4331
2002-04-17,2.4464
2002-04-18,2.4469
2002-04-19,2.4461
2002-04-22,2.4487
2002-04-23,2.4391
2002-04-24,2.4523
2002-04-25,2.4645
2002-04-26,2.4654
2002-04-29,2.4575
2002-04-30,2.453
2002-05-02,2.476
2002-05-06,2.4995
2002-05-07,2.4932
2002-05-08,2.4914
2002-05-09,2.4992
2002-05-10,2.5115
2002-05-13,2.5263
2002-05-14,2.5581
2002-05-15,2.5206
2002-05-16,2.5674
2002-05-17,2.5855
2002-05-20,2.5993
2002-05-21,2.5873
2002-05-22,2.6062
2002-05-23,2.6071
2002-05-24,2.578
2002-05-27,2.5724
2002-05-28,2.5717
2002-05-29,2.5722
2002-05-31,2.581
2002-06-03,2.5577
2002-06-04,2.585
2002-06-05,2.564
2002-06-06,2.5609
2002-06-07,2.5727
2002-06-10,2.5808
2002-06-11,2.5872
2002-06-12,2.5878
2002-06-13,2.5652
2002-06-14,2.5767
2002-06-17,2.5845
2002-06-18,2.5964
2002-06-19,2.5995
2002-06-20,2.6302
2002-06-21,2.6414
2002-06-24,2.6789
2002-06-25,2.6607
2002-06-26,2.6924
2002-06-27,2.7122
2002-06-28,2.7226
2002-07-01,2.7352
2002-07-02,2.6782
2002-07-03,2.7565
2002-07-04,2.7387
2002-07-05,2.7643
2002-07-08,2.7788
2002-07-09,2.8418
2002-07-10,2.8161
2002-07-11,2.8043
2002-07-12,2.8141
2002-07-15,2.8267
2002-07-16,2.8685
2002-07-17,2.8297
2002-07-18,2.8041
2002-07-19,2.8035
2002-07-22,2.7867
2002-07-23,2.7745
2002-07-24,2.8024
2002-07-25,2.8078
2002-07-26,2.8263
2002-07-29,2.7927
2002-07-30,2.7933
2002-07-31,2.8057
2002-08-01,2.8026
2002-08-02,2.8667
2002-08-05,2.8206
2002-08-06,2.7878
2002-08-07,2.7937
2002-08-08,2.7729
2002-08-09,2.7876
2002-08-12,2.7912
2002-08-13,2.7902
2002-08-14,2.8122
2002-08-16,2.7957
2002-08-19,2.7927
2002-08-20,2.7723
2002-08-21,2.7575
2002-08-22,2.7898
2002-08-23,2.7594
2002-08-26,2.7574
2002-08-27,2.7629
2002-08-28,2.7866
2002-08-29,2.7807
2002-08-30,2.7793
2002-09-02,2.7551
2002-09-03,2.7741
2002-09-04,2.7904
2002-09-05,2.8273
2002-09-06,2.8328
2002-09-09,2.7964
2002-09-10,2.7798
2002-09-11,2.7714
2002-09-12,2.768
2002-09-13,2.7806
2002-09-16,2.7696
2002-09-17,2.7373
2002-09-18,2.7637
2002-09-19,2.7621
2002-09-20,2.7721
2002-09-23,2.7809
2002-09-24,2.7681
2002-09-25,2.7742
2002-09-26,2.7653
2002-09-27,2.768
2002-09-30,2.7857
2002-10-01,2.8079
2002-10-02,2.7836
2002-10-03,2.8072
2002-10-04,2.7976
2002-10-07,2.7888
2002-10-08,2.788
2002-10-09,2.7877
2002-10-10,2.8032
2002-10-11,2.7801
2002-10-14,2.7828
2002-10-15,2.7656
2002-10-16,2.761
2002-10-17,2.7723
2002-10-18,2.7586
2002-10-21,2.7476
2002-10-22,2.7378
2002-10-23,2.7448
2002-10-24,2.716
2002-10-25,2.7156
2002-10-28,2.6927
2002-10-29,2.7187
2002-10-30,2.7194
2002-10-31,2.7195
2002-11-04,2.718
2002-11-05,2.7269
2002-11-06,2.7102
2002-11-07,2.7011
2002-11-08,2.7159
2002-11-12,2.7073
2002-11-13,2.7063
2002-11-14,2.7061
2002-11-15,2.6931
2002-11-18,2.6943
2002-11-19,2.6763
2002-11-20,2.6774
2002-11-21,2.6901
2002-11-22,2.6797
2002-11-25,2.663
2002-11-26,2.6818
2002-11-27,2.6745
2002-11-28,2.6813
2002-11-29,2.697
2002-12-02,2.6884
2002-12-03,2.6927
2002-12-04,2.7078
2002-12-05,2.7071
2002-12-06,2.7139
2002-12-09,2.716
2002-12-10,2.706
2002-12-11,2.696
2002-12-12,2.6859
2002-12-13,2.6981
2002-12-16,2.6833
2002-12-17,2.7115
2002-12-18,2.7272
2002-12-19,2.7298
2002-12-20,2.7237
2002-12-23,2.7291
2002-12-24,2.7365
2002-12-27,2.7499
2002-12-30,2.7514
2002-12-31,2.7675
2003-01-02,2.762
2003-01-03,2.734
